id;question;answer;assignment_number
1;Zimbabwe Dollar;Australia;Home
2;Tasty Chief;Concrete;Fantastic
3;Corporate online copying;Grass-roots;Bedfordshire Small Frozen Pizza
4;Intranet compressing Bridge;Rand Namibia Dollar Interactions;Reverse-engineered
5;Outdoors;cross-media info-mediaries Neck;Ergonomic Concrete Table PCI
6;International El Salvador;Oklahoma;Lead Swedish Krona
7;silver Generic Granite Computer;architectures;connecting navigating override
8;Operations Multi-channelled;Diverse Plastic Checking Account;Managed Data Granite
9;stable;Checking Account deliverables;Directives olive Trinidad and Tobago Dollar
10;Suriname transform enhance;Montenegro Refined Movies;Licensed New Israeli Sheqel
