id;subject;description;studentloginname;employeeloginname;status;submitdate;marks;remarks;asgnstatus;assignmentlink;submitlink;assignmentpdf;assignmentpdf_content_type;submitpdf;submitpdf_content_type;assignment_number
1;Gorgeous Games Buckinghamshire;B2C transmitting Brunei Dollar;Isle Sao Tome and Principe;COM Canadian Dollar;front-end;2021-02-26T11:34:57;27083;Guinea Franc Handcrafted Steel Mouse;COMPLETE;neural-net;Industrial Oklahoma;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Sleek deposit
2;magenta Fantastic Nepal;Swiss Franc;Idaho;Assurance tertiary;24 hour Dynamic systematic;2021-02-26T23:43:23;39599;hack;INCOMPLETE;hacking;Analyst bypassing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Barbados Dollar clicks-and-mortar reboot
3;frictionless;Soft Connecticut;Bedfordshire;6th generation Ukraine;transition challenge;2021-02-27T04:43:50;64422;SCSI cohesive Ergonomic Cotton Computer;INACTIVE;Tasty support Practical;Samoa Steel;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Home Loan Account Incredible
4;well-modulated Money Market Account;repurpose;Pizza;strategize;Electronics;2021-02-27T01:31:00;54060;Handcrafted Steel Shoes;COMPLETE;Computers Delaware;Expanded Response;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;zero tolerance Mauritius Rupee salmon
5;Synergized;mission-critical firewall sexy;SCSI Cloned;Berkshire deploy;indexing policy;2021-02-27T06:03:14;44530;Handmade International Savings Account;ACTIVE;Team-oriented user-centric open-source;Avon withdrawal empower;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;circuit Consultant
6;FTP Strategist Credit Card Account;generate proactive;neural Savings Account connect;blue Ball AI;Soft synthesizing;2021-02-27T04:25:23;53425;streamline neural;ACTIVE;generate;mobile systems;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Strategist
7;Intelligent Cotton Car niches recontextualize;SMTP Customer-focused;ROI Baby;Architect silver Avon;Executive;2021-02-27T00:02:00;17083;Baby quantifying;INCOMPLETE;Open-architected Plastic whiteboard;help-desk Buckinghamshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;wireless technologies
8;Bike;Crossroad THX;Internal;yellow Bedfordshire Tennessee;hardware Global Mouse;2021-02-26T08:34:50;49144;primary responsive Concrete;INACTIVE;e-commerce synergistic New Hampshire;Walks;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Maine Focused XML
9;Cambridgeshire Maldives Somali Shilling;Soft New York;quantifying Berkshire;Rwanda Franc;Small Frozen Keyboard purple;2021-02-27T02:27:03;77070;Pizza;ACTIVE;card Burg invoice;green;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Product navigating Bacon
10;Dominican Peso responsive systematic;Compatible Plastic SSL;wireless;innovate Specialist indexing;Consultant;2021-02-27T05:35:16;76133;bypassing Chair deposit;INCOMPLETE;Focused Mississippi strategy;Books bypassing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;deposit Central Money Market Account
